Category,shippedCogs_this_year,shippedCogs_last_year,YoY % shippedCogs,shippedRevenue_this_year,shippedRevenue_last_year,YoY % shippedRevenue,shippedUnits_this_year,shippedUnits_last_year,YoY % shippedUnits,glanceViews_this_year,glanceViews_last_year,YoY % glanceViews
category1,76.91999999999999,205.44,-62.55841121495328,152.76,367.2,-58.39869281045752,9,23,-60.86956521739131,340,914,-62.80087527352297
category2,655.74,1023.78,-35.949129695833086,2459.27,3279.34,-25.007166076100685,326,448,-27.23214285714285,1022,1515,-32.541254125412536
category3,4934.32,3367.34,46.53465346534652,8285.039999999999,5653.98,46.53465346534653,296,202,46.53465346534654,2543,2162,17.622571692876964
category4,3063.87,4499.62,-31.90825003000253,6528.22,8101.11,-19.41573438701609,176,322,-45.3416149068323,2890,3917,-26.2190451876436
category5,761.69,3905.51,-80.49704135951514,1483.74,13051.65,-88.63178218845893,251,1193,-78.96060352053647,700,5610,-87.5222816399287
category6,338.1,620.34,-45.49763033175356,1697.14,2456.77,-30.919866328553347,230,422,-45.49763033175356,1147,938,22.281449893390192
category7,17363.2,16625.38,4.43791359956885,44629.24,42580.06,4.812534317706458,3274,3116,5.070603337612323,14976,15144,-1.109350237717908
category8,3186.18,4345.0,-26.670195627157657,6407.94,8020.87,-20.109165215244733,198,308,-35.714285714285715,3192,3751,-14.902692615302584
category9,2746.38,13756.4,-80.03561978424588,5165.62,23683.88,-78.18930006400979,238,1190,-80.0,1836,6372,-71.1864406779661
category10,1074.36,486.02,121.0526315789474,2251.69,1296.19,73.71604471566668,84,38,121.05263157894736,273,546,-50.0
category11,423.8,633.5,-33.10181531176006,848.58,1208.24,-29.76726478183142,26,39,-33.33333333333333,335,565,-40.70796460176992
category12,361164.88,100192.07,260.47252043001004,650616.55,191391.0,239.94103693486116,36628,9258,295.63620652408724,313692,76265,311.31842916147644
category13,19244.7,21706.15,-11.339873722424294,37791.46,43511.02,-13.145083705231468,1050,1166,-9.948542024013722,11155,12202,-8.580560563841994
category14,452.83,591.69,-23.46837026145449,878.23,764.38,14.894424239252732,26,33,-21.21212121212121,243,298,-18.45637583892617
category15,82.44999999999999,406.3,-79.70711297071131,173.53,781.01,-77.78133442593565,7,34,-79.41176470588235,34,269,-87.36059479553904
category16,30331.65,48152.100000000006,-37.0086662886977,58273.18,80231.7,-27.36888287297913,1569,2317,-32.28312473025464,19600,27700,-29.24187725631769
