Category,shippedCogs_this_year,shippedCogs_last_year,YoY % shippedCogs,shippedRevenue_this_year,shippedRevenue_last_year,YoY % shippedRevenue,shippedUnits_this_year,shippedUnits_last_year,YoY % shippedUnits,glanceViews_this_year,glanceViews_last_year,YoY % glanceViews
category1,614.15,1584.9,-61.24992113067071,1125.82,2928.6400000000003,-61.55826595279721,70,180,-61.11111111111112,2280,7978,-71.42140887440462
category2,3042.4700000000003,10740.96,-71.67413341079381,10296.14,34730.63,-70.35429532951173,1370,4776,-71.31490787269682,5027,13944,-63.948651749856566
category3,17553.51,13317.66,31.806263262465016,29471.58,22183.83,32.85163112050534,1053,799,31.78973717146433,8477,8639,-1.8752170390091447
category4,24134.78,23190.31,4.072692430588455,45995.7,40893.68,12.476304406940136,1261,1694,-25.560802833530104,15960,19809,-19.430561865818568
category5,9598.58,18690.47,-48.644523117931215,26118.34,62316.48,-58.0875877456493,3037,5740,-47.09059233449477,12083,28285,-57.28124447587061
category6,1261.26,1536.15,-17.894736842105267,6123.1900000000005,7315.219999999999,-16.29520369859005,858,1045,-17.894736842105264,4230,3305,27.98789712556732
category7,55243.96000000001,71508.07,-22.74443989328757,143097.02,183510.62,-22.02248567412611,10415,13397,-22.258714637605436,46094,63537,-27.45329493051293
category8,17963.59,8893.5,101.98560746612696,35717.51,15879.65,124.92630505080402,1117,599,86.47746243739566,15682,7657,104.80605981454876
category9,19374.21,42895.53,-54.833965217354816,35442.89,68289.95999999999,-48.09941314945857,1676,3711,-54.8369711668014,9890,19020,-48.00210304942166
category10,2212.67,5973.879999999999,-62.96092321908039,5260.37,13971.73,-62.34990226693474,173,470,-63.191489361702125,1137,4130,-72.46973365617433
category11,2461.3,4328.0,-43.1307763401109,4921.2300000000005,8030.42,-38.71765113157219,151,272,-44.48529411764706,1667,2623,-36.44681662218833
category12,964590.8,248173.76,288.67557956167485,1749026.0,516656.96,238.52752123962483,95144,21695,338.55266190366444,824355,181532,354.11001917017387
category13,27955.2,68345.17,-59.09703641091244,61570.380000000005,137369.63,-55.179045033461904,1517,3696,-58.95562770562771,23507,46607,-49.56337030918103
category14,3037.86,1624.72,86.9774484218819,3856.56,2467.49,56.294858337825104,134,101,32.67326732673268,1178,1419,-16.983791402396054
category15,669.15,2837.5,-76.41762114537445,1401.54,5699.48,-75.40933558850983,57,238,-76.05042016806722,498,2288,-78.23426573426573
category16,133341.68000000002,197611.01,-32.52315242961411,242790.26,325345.66,-25.37467381614987,6996,9714,-27.980234712785663,110379,110164,0.1951635743073962
category17,14557.72,18901.4,-22.980731586020084,28014.93,37602.96,-25.49807249216551,749,1004,-25.39840637450199,7440,11644,-36.10443146684988
category18,22711.34,31744.620000000003,-28.45609744265328,37831.22,49038.05,-22.853335318186595,653,913,-28.477546549835708,7641,10329,-26.023816439151904
category19,70850.73999999999,82858.09,-14.491463657924056,121853.87,146042.25,-16.562590620180124,5242,6015,-12.851205320033252,27203,36748,-25.974202677696745
category20,1980.56,3386.9300000000003,-41.52344453531665,5755.5,9172.69,-37.2539571270805,429,686,-37.46355685131195,1613,4440,-63.67117117117117
category21,11940.36,17349.6,-31.17789459122976,28281.85,39708.42,-28.7761890299337,1925,2753,-30.07628042135852,12009,18107,-33.67758325509472
category22,389072.3,164976.0,135.83569731354862,603423.6900000001,246318.66,144.97684828262706,12619,5327,136.88755397033978,226706,70394,222.0530158820354
category23,14011.83,26387.76,-46.900267396702105,25558.45,44569.12,-42.65435350754065,949,1777,-46.595385481148,9992,14601,-31.566331073214165
category24,7013.82,11628.34,-39.68339419040035,12877.09,18851.55,-31.69214202545679,334,564,-40.78014184397163,5275,9144,-42.31189851268592
category25,22018.2,1982.8,1010.4599556183176,44298.58,3752.84,1080.4015092569894,1391,137,915.3284671532848,25411,1512,1580.6216931216932
category26,425.92,519.2,-17.96610169491526,801.24,963.73,-16.860531476658398,49,59,-16.94915254237288,721,1158,-37.73747841105354
category27,3858.74,9223.28,-58.16303961280587,8264.76,17260.57,-52.11768788632125,46,112,-58.92857142857143,4460,14953,-70.1732093894202
category28,337666.93,517334.25,-34.729446194602424,583180.4,876534.38,-33.46748133256336,2946,4439,-33.63370128407299,193740,213212,-9.132694219837532
category29,100840.0,207390.09,-51.37665449684698,189276.99,339628.28,-44.26936708568556,3603,7295,-50.61000685400959,74916,149429,-49.8651533504206
category30,666511.8099999999,1055138.14,-36.83179626129333,1471342.2,2134812.56,-31.078623595881417,58365,89349,-34.67750058758352,311448,480152,-35.1355404122028
category31,1415648.34,3026009.06,-53.21731323567155,2860368.38,6098739.01,-53.09901972670249,98415,221461,-55.56102428870094,700111,1448364,-51.66194409692592
category32,211405.28,328897.39,-35.72302899697684,419718.63,616461.98,-31.914920365405173,12297,17779,-30.834130153551943,186885,275067,-32.05837123319046
category33,52945.490000000005,120519.03,-56.06877187776901,143205.86,287919.59,-50.26185609669701,2047,3807,-46.23062779091148,32897,56771,-42.0531609448486
category34,2009.66,3060.78,-34.34157306307542,3873.91,5947.71,-34.86720098996084,131,218,-39.90825688073394,2194,3988,-44.98495486459378
category35,1253.33,4874.1900000000005,-74.28639425217318,2319.1000000000004,8582.15,-72.97763380970969,145,567,-74.42680776014109,1176,4386,-73.18741450068399
category36,60523.17,133152.3,-54.54590720550828,149642.11,322734.81,-53.633105149085104,9664,20016,-51.71862509992007,42008,100958,-58.39061788070287
category37,4621.06,16953.36,-72.74251239872214,6436.17,24405.25,-73.62792841704142,197,712,-72.3314606741573,5293,20848,-74.61147352264005
category38,11601.74,23369.0,-50.35414437930592,35348.87,81785.93999999999,-56.77879351878818,565,1359,-58.42531272994849,6973,17088,-59.1935861423221
category39,222813.75,325650.72,-31.57891682229352,499038.84,699601.98,-28.66817786879333,33828,50386,-32.86230302068035,447249,640362,-30.15684878240745
category40,46390.09,4708.04,885.3376351942634,67870.37000000001,8766.1,674.236775761171,1031,128,705.46875,17478,5230,234.18738049713195
category41,37293.4,122843.41,-69.6415135333674,73769.49,232312.7,-68.24560603014817,1673,5418,-69.12144702842377,13373,50293,-73.40981846380213
category42,28385.62,27210.23,4.319662127074999,49046.0,48425.47,1.2814124467971066,1911,2151,-11.157601115760112,20700,26224,-21.064673581452105
category43,16698.469999999998,22513.6,-25.829409778978047,38513.72,54719.12,-29.615607853342677,345,518,-33.397683397683394,7168,18277,-60.78130984297204
